Time from Start to Finish (seconds),Approximate Age,Approximate Empolyees,Approximate Wage,Approximate Spending,Coding Years,TPU Times,ML Years
724,27,10000,27500,100000,4,1,2
301,37,500,75000,0,7.5,0,1
327,27,5000,85000,0,1,0,1
605,23,25,500,0,1,0,1
355,37,10000,112500,100000,4,0,3
724,37,500,45000,0,1,0,1
5122,42,10000,112500,100000,7.5,0,10
306,20,,0,,4,0,2
771,23,5000,4500,0,2,1,3
276,32,10000,8250,0,0,,
434,20,,0,,1,0,1
355,23,,0,,2,0,2
362,23,,0,,2,0,1
598,27,10000,133000,50000,7.5,0,5
267,20,,0,,0,,
506,23,,0,,1,0,2
1263,23,,0,,2,0,1
481,32,10000,85000,0,7.5,0,5
343,20,,0,,2,12,2
335,32,5000,27500,0,4,0,4
451,27,,0,,1,0,1
445,27,25,1500,50,1,0,1
588,65,10000,400000,500,20,0,20
542,27,25,27500,5000,4,0,3
607,27,5000,22500,0,2,0,2
562,32,10000,22500,500,7.5,0,2
448,57,10000,175000,100000,20,3,10
374,23,10000,17500,50,2,0,1
1298,23,25,12500,5000,2,0,2
390,27,5000,45000,0,7.5,0,3
437,57,25,85000,5000,7.5,0,3
515,23,25,500,50,2,0,2
457,23,,0,,1,0,2
865,23,10000,6250,500,1,12,1
838,27,5000,95000,50,4,0,1
359,23,500,12500,0,2,0,1
313,23,25,6250,50,1,1,2
596,27,125,45000,50,4,0,3
369,47,5000,133000,0,4,0,2
395,20,,0,,4,0,2
358,27,,0,,1,0,1
567,27,5000,133000,50000,2,0,2
293,27,125,45000,0,4,0,2
1213,23,10000,6250,50,2,0,2
585,20,25,225000,500,20,0,1
3070,32,125,4500,0,4,25,1
1224,57,25,35000,500,2,0,1
588,27,500,22500,50,4,0,4
2971,27,5000,12500,5000,4,3,3
279,27,25,2500,500,2,0,3
809,23,125,12500,5000,2,0,2
2343,32,5000,27500,100000,1,0,2
437,20,125,6250,5000,1,0,2
558,20,25,500,500,0,,
1070,37,5000,55000,0,4,0,3
596,32,125,17500,0,15,3,3
453,23,,0,,2,0,1
779,23,,0,,2,0,2
906,42,5000,12500,500,1,0,1
519,20,500,500,0,2,1,1
542,23,5000,400000,0,2,0,4
478,32,10000,112500,50000,7.5,0,5
1693,32,10000,225000,100000,7.5,0,4
3218,27,500,12500,50,7.5,0,1
483,27,500,8250,500,4,1,4
447,20,,0,,2,0,1
387,65,25,95000,0,1,0,1
329,27,,0,,2,0,1
748,32,5000,6250,100000,7.5,0,5
758,20,,0,,1,0,1
458,20,,0,,1,0,1
373,20,,0,,1,0,1
524,32,10000,12500,50,2,1,2
343,32,10000,17500,0,7.5,0,2
294,20,,0,,1,0,1
582,27,125,85000,500,1,0,1
787,37,,0,,4,0,5
551,57,5000,12500,500,4,0,4
535,27,10000,75000,5000,4,0,3
567,27,5000,22500,5000,1,0,1
392,32,5000,55000,50,7.5,0,10
571,20,,0,,1,0,1
845,42,10000,112500,500,2,1,2
640,27,5000,12500,0,1,0,1
483,20,,0,,1,0,1
713,27,,0,,1,1,1
755,47,5000,112500,50000,15,0,12
337,37,500,35000,500,2,0,3
656,37,10000,175000,5000,7.5,0,3
258,27,,0,,4,0,4
453,32,25,17500,0,2,0,1
517,32,5000,133000,50000,7.5,0,5
301,20,,0,,4,0,2
1017,52,25,8250,50000,4,3,5
698,32,25,65000,0,2,0,2
268,23,,0,,1,3,1
516,47,500,75000,50000,15,0,1
348,20,,0,,4,0,2
650,23,,0,,1,0,1
645,27,,0,,2,0,1
374,20,,0,,1,1,1
416,32,5000,12500,0,0,,
1519,27,25,500,0,1,0,1
442,37,25,22500,500,2,0,1
584,42,25,500000,50000,1,0,1
378,20,,0,,1,0,1
577,27,,0,,1,0,1
256,23,,0,,0,,
411,32,125,12500,0,7.5,0,3
357,27,25,22500,500,4,0,2
592,47,,0,,1,0,1
305,27,,0,,2,12,2
1285,27,10000,55000,500,7.5,0,3
529,42,25,65000,5000,2,0,1
758,27,25,55000,0,4,0,5
690,23,125,35000,5000,7.5,0,3
349,42,10000,133000,5000,4,1,4
1625,27,,0,,4,1,1
603,52,10000,133000,50000,20,0,3
715,27,500,1500,50,1,0,1
420,37,5000,75000,50,15,0,10
457,23,25,17500,5000,1,0,2
2559,42,10000,133000,0,20,1,4
503,47,5000,95000,50000,2,1,2
4390,20,,0,,2,0,1
462,32,125,95000,50000,7.5,0,10
483,37,10000,27500,0,1,0,1
884,23,125,1500,500,4,0,2
5089,32,10000,225000,100000,7.5,3,5
245,20,,0,,1,0,1
262,37,10000,35000,100000,0,,
342,32,,0,,2,0,1
355,37,500,112500,100000,15,3,4
813,47,5000,27500,0,1,0,2
563,52,500,112500,100000,4,25,4
237,27,25,75000,0,7.5,0,4
626,20,,0,,0,,
580,42,10000,175000,100000,15,0,5
501,32,5000,45000,5000,4,0,5
495,27,10000,12500,0,1,0,1
85,57,,0,,,,
452,32,10000,133000,500,1,0,2
369,27,10000,55000,0,2,0,2
443,42,10000,112500,0,7.5,0,5
529,52,125,112500,0,20,0,20
238,20,,0,,0,,
697,42,10000,27500,5000,4,0,2
771,37,25,6250,5000,4,0,3
359,27,500,112500,50000,4,0,5
348,27,125,112500,500,2,0,2
337,32,,0,,2,1,2
393,23,125,55000,0,1,0,1
585,32,500,65000,100000,4,0,3
672,32,10000,275000,100000,15,0,5
327,23,,0,,4,0,3
1037,20,,0,,2,0,1
490,32,5000,85000,100000,4,1,3
401,32,5000,95000,0,15,0,10
378,32,25,12500,0,1,0,1
421,42,10000,275000,100000,15,0,10
450,27,5000,95000,0,1,0,1
610,32,500,133000,100000,7.5,0,10
1425,42,25,1500,50,4,0,4
428,42,10000,22500,0,15,0,4
478,32,5000,22500,0,4,0,3
600,27,25,95000,5000,7.5,0,5
195,20,,0,,0,,
766,27,10000,6250,500,1,0,1
465,42,5000,400000,100000,15,0,10
1347,27,25,35000,5000,4,1,2
457,23,10000,8250,50000,2,25,3
773,27,10000,45000,500,1,1,1
1124,20,,0,,4,1,1
413,32,500,45000,5000,2,1,3
2847,27,25,85000,50000,7.5,0,4
463,23,,0,,4,0,3
453,27,125,22500,500,4,0,3
655,27,25,500,0,2,0,2
732,23,10000,22500,500,2,3,3
1187,23,25,500,50,1,0,1
740,32,5000,133000,100000,4,0,10
410,52,10000,85000,0,20,0,1
329,20,,0,,1,0,1
1908,23,10000,8250,500,4,0,3
2746,37,,0,,1,0,1
486,42,10000,500,0,15,3,4
442,23,25,12500,500,2,3,2
339,37,,0,,2,0,1
611,37,10000,95000,50000,7.5,0,12
234,27,5000,27500,0,0,,
1297,57,500,22500,0,2,0,2
1792,42,25,225000,50000,20,0,20
289,32,500,175000,0,15,0,3
981,20,,0,,2,0,3
1642,37,25,133000,50000,15,0,10
757,32,,0,,4,0,3
980,20,,0,,2,0,1
608,57,500,175000,50000,20,0,5
3735,47,10000,35000,50000,15,0,4
356,27,10000,175000,100000,15,0,10
2629,65,5000,133000,50000,4,0,4
382,27,,0,,4,0,5
501,23,,0,,1,0,1
357,32,125,8250,0,0,,
591,37,10000,133000,5000,15,0,4
333,23,,0,,1,0,1
464,23,25,17500,500,4,0,4
6163,27,25,65000,5000,4,0,3
272,32,,0,,7.5,0,5
660,37,125,95000,50000,2,0,1
424,23,,0,,1,0,1
3809,27,10000,400000,50000,7.5,0,5
509,23,10000,45000,5000,2,0,2
574,20,,0,,2,1,2
539,23,,0,,4,0,5
456,27,500,175000,50000,7.5,0,4
568,32,10000,1500,100000,4,0,3
3378,27,10000,65000,0,4,3,5
390,37,500,112500,0,2,0,2
342,32,10000,175000,0,15,0,5
421,42,125,12500,0,2,0,2
1532,27,25,4500,0,4,0,1
911,23,25,3500,5000,1,3,1
277,20,,0,,2,0,2
461,32,5000,17500,0,1,0,1
557,57,,0,,20,3,2
3270,42,5000,112500,5000,15,0,5
959,27,10000,65000,5000,4,0,4
376,32,5000,45000,50,7.5,0,10
243,20,,0,,1,0,1
689,37,10000,275000,50000,15,3,12
612,23,25,500,0,1,0,1
1238,32,500,133000,0,7.5,0,2
1032,32,25,45000,500,4,3,3
1315,27,5000,500,0,1,0,1
494,27,500,27500,0,4,25,5
336,23,,0,,1,0,1
1653,37,5000,55000,50000,4,3,4
684,32,25,500,50,1,0,2
983,42,5000,55000,100000,20,0,2
918,23,,0,,2,0,1
492,57,25,133000,50,1,0,5
432,32,25,55000,0,7.5,0,2
939,37,10000,4500,5000,15,0,10
826,37,5000,500,500,2,0,3
243,20,,0,,0,,
2700,20,25,1500,50,1,3,1
588,23,,0,,1,0,1
878,47,5000,17500,500,15,0,2
659,37,125,65000,50,7.5,0,10
4817,23,125,95000,5000,2,0,2
531,27,25,12500,0,4,0,1
1342,47,10000,175000,5000,15,0,2
1346,37,5000,85000,100000,1,0,2
8080,20,,0,,4,0,1
376,32,5000,75000,5000,15,0,10
361,23,,0,,1,0,1
1072,52,5000,35000,5000,15,0,1
570,23,,0,,2,0,1
336,27,10000,55000,0,4,0,5
2042,47,10000,12500,5000,7.5,0,2
289,20,,0,,1,0,1
280,23,,0,,2,0,1
343,20,,0,,1,0,1
517,20,,0,,1,0,1
272,20,,0,,1,0,1
581,57,25,27500,0,4,0,3
689,37,5000,95000,5000,1,0,1
259,27,,0,,2,0,3
350,23,,0,,0,,
346,20,,0,,4,0,4
597,32,500,45000,0,7.5,0,5
829,37,25,500,0,2,0,3
726,37,25,27500,50000,4,0,4
520,20,,0,,2,0,2
684,23,25,500,500,4,0,3
667,37,500,22500,50000,7.5,0,10
595,42,10000,65000,50000,0,,
394,20,,0,,1,1,1
550,37,10000,35000,500,15,0,5
721,27,125,3500,0,0,,
735,32,5000,2500,5000,7.5,0,1
480,32,500,6250,500,4,0,1
783,42,10000,112500,100000,7.5,0,10
934,37,10000,55000,100000,2,0,2
2057,37,10000,17500,50000,15,0,2
376,32,25,35000,5000,4,0,3
336,20,,0,,2,0,2
481,27,10000,175000,500,4,0,2
2885,20,,0,,2,0,2
353,47,5000,8250,50,4,3,1
374,27,500,12500,50,4,0,1
226,27,10000,1500,500,0,,
590,23,,0,,1,1,1
783,23,125,65000,0,7.5,0,2
534,37,500,27500,50,2,0,2
745,20,10000,55000,5000,2,0,2
611,20,,0,,1,0,1
377,32,10000,75000,0,4,0,5
511,65,10000,225000,100000,20,3,20
646,27,10000,3500,0,4,0,3
991,27,10000,12500,500,2,1,1
436,65,25,55000,5000,0,,
270,65,,0,,20,0,2
600,23,,0,,2,0,2
405,20,,0,,2,0,1
492,37,500,133000,5000,15,0,3
435,27,,0,,2,0,2
600,32,5000,95000,0,4,0,5
1288,42,125,133000,50000,7.5,0,4
410,37,25,65000,5000,7.5,3,10
565,37,,0,,2,0,2
567,27,,0,,1,0,1
584,32,25,500,50,4,0,2
579,37,25,27500,500,7.5,0,2
828,32,10000,85000,500,4,0,1
338,20,,0,,1,0,1
466,20,,0,,1,0,1
958,52,125,112500,100000,15,3,10
560,27,,0,,4,3,2
725,32,10000,35000,0,1,0,1
1121,27,125,12500,5000,2,0,2
949,37,500,17500,0,1,0,1
444,32,500,4500,5000,7.5,3,4
326,20,,0,,2,0,2
336,23,5000,27500,0,2,0,2
647,27,125,8250,0,2,0,5
664,23,,0,,2,1,2
621,47,5000,225000,100000,2,0,2
429,32,,0,,7.5,0,10
507,27,5000,133000,100000,4,0,4
1066,37,25,12500,500,1,0,1
1395,27,,0,,0,,
502,52,,0,,7.5,0,1
319,23,5000,65000,0,4,0,1
237,20,,0,,1,0,1
586,37,25,45000,5000,15,0,12
1559,23,,0,,1,0,1
1005,37,5000,175000,5000,0,,
580,37,25,500,500,1,0,1
480,32,500,175000,100000,15,0,5
481,27,10000,45000,0,4,1,5
1237,27,5000,500,0,0,,
286,20,,0,,2,0,2
267,37,,0,,1,0,1
315,42,25,500,50,0,,
431,37,5000,35000,0,7.5,0,10
936,42,10000,65000,100000,15,0,3
467,32,10000,55000,0,4,0,4
462,65,5000,133000,50000,15,0,2
439,23,,0,,1,0,1
680,20,,0,,2,0,2
444,23,25,75000,50000,4,0,4
804,20,,0,,1,0,1
599,27,25,500,0,1,0,1
405,32,500,85000,50,4,0,4
898,42,25,500,5000,1,3,2
1199,27,10000,3500,50000,1,0,1
1180,32,125,500,5000,2,0,1
532,32,125,22500,50000,1,0,3
806,27,500,1500,50,4,0,3
370,20,,0,,1,0,1
656,52,10000,75000,50000,20,0,20
661,23,25,6250,5000,4,0,2
396,27,5000,75000,0,7.5,0,3
654,32,25,75000,500,15,3,4
426,27,10000,112500,100000,4,0,3
807,27,,0,,7.5,0,3
288,23,,0,,1,1,1
754,20,500,12500,500,2,0,2
811,47,5000,225000,0,7.5,0,10
337,52,500,17500,0,2,0,10
753,47,10000,112500,5000,4,0,3
561,37,10000,85000,50000,15,0,5
508,20,,0,,1,0,1
380,20,,0,,2,0,1
441,27,125,6250,500,4,0,2
380,42,25,65000,0,4,0,4
813,32,5000,500,50,4,0,5
870,23,25,500,0,1,0,2
239,23,,0,,0,,
394,42,5000,65000,100000,4,0,1
836,27,125,1500,500,2,0,2
335,20,,0,,1,0,1
361,70,,0,,20,0,1
554,42,5000,3500,500,15,0,12
268,23,10000,2500,0,1,1,1
405,20,,0,,1,0,1
284,42,,0,,4,0,4
789,52,25,95000,50000,4,0,5
282,47,500,17500,0,0,,
450,23,5000,1500,50,2,0,2
963,47,5000,133000,500,4,0,5
428,37,5000,55000,50,7.5,1,3
776,32,5000,175000,500,7.5,1,4
355,23,,0,,1,0,1
472,32,10000,55000,0,7.5,0,1
579,20,,0,,1,0,1
636,23,5000,8250,50,1,0,1
1512,32,25,75000,50000,4,0,20
557,23,125,6250,500,2,3,2
569,23,10000,6250,50000,2,0,1
671,37,10000,112500,0,7.5,0,1
383,20,,0,,2,0,2
772,23,,0,,4,1,4
640,37,10000,35000,100000,2,0,2
927,23,25,27500,500,4,0,3
1168,23,,0,,2,0,1
2335,42,5000,45000,0,2,0,1
614,23,500,17500,500,2,0,2
710,27,25,2500,0,1,0,1
366,32,5000,175000,0,7.5,0,3
426,27,,0,,1,0,1
852,27,,0,,7.5,1,10
480,23,500,45000,100000,4,1,4
1929,23,125,12500,5000,2,0,1
504,52,500,133000,5000,20,0,20
825,20,,0,,1,0,1
863,32,500,1500,50,1,0,2
467,27,10000,65000,500,1,0,1
307,37,10000,112500,0,7.5,0,3
481,42,500,55000,0,15,0,3
205,37,25,500,0,0,,
438,42,500,8250,0,2,0,2
527,32,500,1500,0,4,0,1
538,32,25,27500,0,1,0,1
762,37,5000,12500,50000,4,0,4
755,37,10000,500000,100000,15,0,10
722,52,5000,133000,100000,2,0,2
5528,57,10000,500000,100000,15,0,12
313,32,5000,75000,0,1,0,1
545,27,125,22500,50000,4,3,5
1048,27,500,112500,5000,2,0,1
404,37,10000,133000,0,7.5,0,10
298,27,125,1500,0,0,,
1060,37,10000,17500,5000,2,0,2
1145,47,10000,12500,0,2,0,2
673,27,10000,133000,50000,4,0,10
394,23,25,500,0,1,3,2
699,27,10000,12500,50000,4,0,3
382,23,,0,,2,0,3
538,20,,0,,1,0,1
506,27,25,35000,0,1,0,1
329,23,10000,27500,0,1,0,1
466,27,,0,,4,0,2
454,47,10000,45000,5000,15,12,10
299,20,,0,,2,0,1
3725,32,25,133000,500,7.5,0,2
521,23,10000,27500,0,2,0,1
603,23,500,17500,50000,2,0,2
384,20,,0,,1,1,1
1386,23,125,8250,5000,7.5,0,2
526,20,,0,,1,0,1
539,65,,0,,4,0,5
679,37,10000,45000,50000,7.5,0,10
857,27,10000,133000,50000,7.5,0,5
1371,23,,0,,1,1,2
1890,42,10000,12500,500,1,0,2
370,32,5000,55000,0,7.5,0,2
342,27,,0,,4,0,3
589,47,10000,55000,50,15,0,12
529,42,10000,35000,500,7.5,0,5
767,27,5000,22500,100000,4,0,3
413,65,,0,,1,0,2
737,32,25,500,5000,15,0,4
705,27,25,112500,5000,1,0,1
509,42,10000,27500,0,1,1,1
636,52,5000,22500,500,15,0,12
410,52,125,45000,50,7.5,0,1
1168,42,500,112500,0,7.5,0,5
256,23,10000,45000,0,2,0,2
422,27,5000,27500,0,4,0,3
1371,32,5000,75000,50000,2,0,2
563,27,10000,12500,5000,2,0,2
989,27,500,8250,50,1,0,1
933,27,125,65000,5000,4,0,3
