Time from Start to Finish (seconds),Q1,Q6,Q7,Q10,Q11,Q15,Q22,Q23
368,25-29,50-249 employees,4-Mar,"40,000-49,999",$0 (USD),5-10 years,Never,4-5 years
1529,22-24,"1000-9,999 employees",14-Oct,"20,000-24,999","> $100,000 ($USD)",1-2 years,Never,1-2 years
979,35-39,250-999 employees,14-Oct,"125,000-149,999",$0 (USD),5-10 years,Never,2-3 years
691,25-29,"> 10,000 employees",0,$0-999,$1-$99,< 1 years,Never,< 1 years
1146,40-44,50-249 employees,2-Jan,"10,000-14,999","$1000-$9,999",1-2 years,2-5 times,< 1 years
377,25-29,250-999 employees,20+,"15,000-19,999",$0 (USD),5-10 years,Never,1-2 years
379,30-34,0-49 employees,0,"20,000-24,999","$1000-$9,999",1-2 years,Never,1-2 years
353,35-39,0-49 employees,2-Jan,"100,000-124,999","$10,000-$99,999",10-20 years,Never,2-3 years
518,25-29,,,,,1-2 years,Never,2-3 years
528,30-34,"1000-9,999 employees",4-Mar,$0-999,$1-$99,3-5 years,Never,2-3 years
615,25-29,0-49 employees,14-Oct,$0-999,$0 (USD),1-2 years,Never,< 1 years
1486,30-34,"> 10,000 employees",2-Jan,"90,000-99,999",$0 (USD),1-2 years,Never,2-3 years
538,30-34,0-49 employees,14-Oct,"7,500-9,999",$100-$999,5-10 years,Never,2-3 years
884,25-29,"1000-9,999 employees",9-May,$0-999,$0 (USD),1-2 years,Never,< 1 years
402,30-34,"> 10,000 employees",20+,"150,000-199,999","> $100,000 ($USD)",5-10 years,Never,3-4 years
448,22-24,"> 10,000 employees",2-Jan,"10,000-14,999","> $100,000 ($USD)",1-2 years,Never,2-3 years
1023,25-29,"1000-9,999 employees",20+,"7,500-9,999","$10,000-$99,999",3-5 years,Never,3-4 years
384,35-39,50-249 employees,4-Mar,"10,000-14,999",$100-$999,1-2 years,Never,1-2 years
973,25-29,250-999 employees,0,"25,000-29,999",$1-$99,3-5 years,Never,1-2 years
843,35-39,"> 10,000 employees",4-Mar,"40,000-49,999",$0 (USD),< 1 years,Never,< 1 years
1341,30-34,"1000-9,999 employees",20+,"90,000-99,999","> $100,000 ($USD)",10-20 years,Never,5-10 years
621,25-29,50-249 employees,2-Jan,"5,000-7,499","$1000-$9,999",1-2 years,Never,1-2 years
334,22-24,,,,,< 1 years,Never,< 1 years
578,22-24,,,,,< 1 years,Never,1-2 years
529,35-39,"> 10,000 employees",20+,"3,000-3,999",$0 (USD),1-2 years,Once,1-2 years
538,25-29,50-249 employees,4-Mar,"2,000-2,999",$100-$999,3-5 years,Never,< 1 years
380,22-24,50-249 employees,0,"10,000-14,999",$0 (USD),1-2 years,Never,1-2 years
691,25-29,"> 10,000 employees",4-Mar,"10,000-14,999",$0 (USD),3-5 years,Never,< 1 years
648,25-29,50-249 employees,9-May,$0-999,$0 (USD),< 1 years,Never,2-3 years
352,35-39,0-49 employees,0,"40,000-49,999",$1-$99,5-10 years,Never,1-2 years
402,30-34,0-49 employees,2-Jan,"40,000-49,999","$1000-$9,999",1-2 years,Never,3-4 years
682,35-39,"1000-9,999 employees",20+,"150,000-199,999",$1-$99,5-10 years,Never,5-10 years
389,25-29,"> 10,000 employees",20+,"3,000-3,999",$0 (USD),3-5 years,Never,2-3 years
507,18-21,,,,,1-2 years,Never,1-2 years
1868,30-34,"1000-9,999 employees",9-May,"80,000-89,999","$1000-$9,999",1-2 years,Never,1-2 years
523,25-29,250-999 employees,9-May,"60,000-69,999",$100-$999,3-5 years,Never,1-2 years
682,25-29,"> 10,000 employees",9-May,$0-999,$1-$99,< 1 years,2-5 times,< 1 years
578,45-49,50-249 employees,2-Jan,"2,000-2,999",$1-$99,3-5 years,Never,3-4 years
831,40-44,"> 10,000 employees",20+,"1,000-1,999","$1000-$9,999",< 1 years,Never,< 1 years
443,30-34,"> 10,000 employees",20+,"150,000-199,999",$0 (USD),3-5 years,Never,4-5 years
1013,22-24,,,,,< 1 years,Never,< 1 years
448,35-39,"> 10,000 employees",20+,"40,000-49,999","$10,000-$99,999",1-2 years,Never,1-2 years
691,30-34,250-999 employees,4-Mar,"100,000-124,999",$100-$999,3-5 years,Never,2-3 years
585,25-29,,,,,5-10 years,Never,4-5 years
748,22-24,0-49 employees,2-Jan,"40,000-49,999",$100-$999,1-2 years,Never,1-2 years
446,35-39,"> 10,000 employees",15-19,"40,000-49,999",$0 (USD),1-2 years,Never,< 1 years
462,40-44,"1000-9,999 employees",2-Jan,"15,000-19,999",$0 (USD),3-5 years,Never,1-2 years
474,25-29,"> 10,000 employees",20+,"200,000-249,999","> $100,000 ($USD)",5-10 years,6-24 times,5-10 years
627,18-21,"1000-9,999 employees",2-Jan,"10,000-14,999",$1-$99,1-2 years,Never,1-2 years
548,22-24,"1000-9,999 employees",20+,"15,000-19,999",$0 (USD),1-2 years,2-5 times,1-2 years
573,22-24,,,,,1-2 years,Never,< 1 years
711,30-34,"> 10,000 employees",14-Oct,"20,000-24,999",$0 (USD),3-5 years,2-5 times,3-4 years
703,22-24,50-249 employees,4-Mar,"50,000-59,999",$0 (USD),1-2 years,Never,< 1 years
287,18-21,,,,,I have never written code,,
610,18-21,,,,,1-2 years,Never,1-2 years
431,30-34,0-49 employees,2-Jan,$0-999,$0 (USD),< 1 years,Never,< 1 years
575,22-24,,,,,1-2 years,Never,2-3 years
514,35-39,250-999 employees,9-May,"1,000-1,999",$0 (USD),1-2 years,Never,1-2 years
485,35-39,"1000-9,999 employees",20+,"125,000-149,999","$1000-$9,999",10-20 years,Once,10-15 years
419,18-21,,,,,< 1 years,Never,< 1 years
69,30-34,"1000-9,999 employees",9-May,,,,,
326,30-34,"1000-9,999 employees",15-19,"15,000-19,999",$0 (USD),5-10 years,Never,5-10 years
284,25-29,50-249 employees,9-May,"70,000-79,999",$0 (USD),1-2 years,Never,1-2 years
392,25-29,50-249 employees,2-Jan,"1,000-1,999",$1-$99,1-2 years,Never,< 1 years
367,22-24,,,,,I have never written code,,
414,30-34,"1000-9,999 employees",4-Mar,"70,000-79,999","> $100,000 ($USD)",3-5 years,Never,1-2 years
369,30-34,"> 10,000 employees",20+,"125,000-149,999","$10,000-$99,999",3-5 years,Never,1-2 years
558,22-24,0-49 employees,14-Oct,"40,000-49,999","$1000-$9,999",1-2 years,Never,2-3 years
751,22-24,0-49 employees,4-Mar,"125,000-149,999",$100-$999,< 1 years,Never,< 1 years
680,30-34,0-49 employees,2-Jan,"60,000-69,999",$100-$999,5-10 years,Never,4-5 years
673,25-29,50-249 employees,9-May,"40,000-49,999",$1-$99,5-10 years,Never,1-2 years
403,22-24,0-49 employees,2-Jan,$0-999,$1-$99,1-2 years,Never,1-2 years
712,35-39,50-249 employees,4-Mar,"40,000-49,999",$0 (USD),1-2 years,Never,1-2 years
413,30-34,0-49 employees,2-Jan,"40,000-49,999",$100-$999,1-2 years,Never,1-2 years
906,45-49,0-49 employees,2-Jan,"90,000-99,999","$1000-$9,999",< 1 years,Never,1-2 years
440,22-24,"> 10,000 employees",20+,"4,000-4,999",$1-$99,3-5 years,Never,< 1 years
805,22-24,50-249 employees,2-Jan,"10,000-14,999",$0 (USD),1-2 years,Never,< 1 years
345,30-34,0-49 employees,2-Jan,"50,000-59,999",$1-$99,1-2 years,Never,< 1 years
515,30-34,50-249 employees,9-May,"10,000-14,999",$1-$99,1-2 years,Never,1-2 years
1036,25-29,"1000-9,999 employees",14-Oct,"30,000-39,999",$0 (USD),1-2 years,Never,4-5 years
991,35-39,50-249 employees,2-Jan,"200,000-249,999",$0 (USD),3-5 years,Never,5-10 years
379,18-21,,,,,< 1 years,2-5 times,< 1 years
1633,25-29,0-49 employees,0,$0-999,$0 (USD),< 1 years,Never,< 1 years
356,22-24,0-49 employees,2-Jan,"4,000-4,999",$0 (USD),< 1 years,Never,< 1 years
462,50-54,0-49 employees,2-Jan,"60,000-69,999","$1000-$9,999",10-20 years,Never,1-2 years
627,30-34,50-249 employees,2-Jan,"125,000-149,999","$10,000-$99,999",3-5 years,Never,3-4 years
492,30-34,,,,,1-2 years,Never,2-3 years
272,25-29,,,,,1-2 years,Never,1-2 years
464,30-34,"1000-9,999 employees",20+,"100,000-124,999","$10,000-$99,999",10-20 years,Never,3-4 years
489,18-21,,,,,< 1 years,2-5 times,< 1 years
474,35-39,"> 10,000 employees",9-May,"70,000-79,999","$1000-$9,999",5-10 years,Never,3-4 years
537,25-29,250-999 employees,4-Mar,"90,000-99,999","> $100,000 ($USD)",3-5 years,Once,1-2 years
677,25-29,,,,,< 1 years,Never,1-2 years
1099,25-29,"> 10,000 employees",20+,"25,000-29,999",$0 (USD),3-5 years,Never,3-4 years
660,45-49,50-249 employees,14-Oct,"3,000-3,999",$100-$999,1-2 years,Never,1-2 years
501,25-29,"1000-9,999 employees",20+,"40,000-49,999","$1000-$9,999",3-5 years,Never,4-5 years
483,18-21,,,,,I have never written code,,
386,22-24,,,,,< 1 years,Never,< 1 years
835,35-39,50-249 employees,9-May,"40,000-49,999","$1000-$9,999",10-20 years,2-5 times,1-2 years
146,22-24,0-49 employees,4-Mar,"60,000-69,999",$0 (USD),I have never written code,,
655,25-29,0-49 employees,9-May,$0-999,$100-$999,1-2 years,Never,1-2 years
583,40-44,"> 10,000 employees",14-Oct,"> $500,000","> $100,000 ($USD)",5-10 years,2-5 times,1-2 years
406,25-29,50-249 employees,2-Jan,"80,000-89,999",$0 (USD),3-5 years,Never,3-4 years
422,25-29,,,,,< 1 years,Never,< 1 years
638,30-34,0-49 employees,2-Jan,"150,000-199,999","$1000-$9,999",5-10 years,Never,4-5 years
509,22-24,50-249 employees,14-Oct,"20,000-24,999","$10,000-$99,999",1-2 years,2-5 times,1-2 years
2591,25-29,0-49 employees,4-Mar,"25,000-29,999",$100-$999,3-5 years,Never,2-3 years
349,25-29,,,,,< 1 years,Never,< 1 years
562,22-24,,,,,1-2 years,Never,1-2 years
347,22-24,,,,,1-2 years,Never,1-2 years
493,22-24,0-49 employees,2-Jan,"30,000-39,999",$100-$999,1-2 years,2-5 times,1-2 years
549,18-21,"1000-9,999 employees",20+,"15,000-19,999",$100-$999,1-2 years,Never,1-2 years
613,18-21,,,,,1-2 years,Never,1-2 years
438,45-49,"> 10,000 employees",2-Jan,"300,000-500,000",$1-$99,3-5 years,Never,1-2 years
456,30-34,50-249 employees,2-Jan,"2,000-2,999",$0 (USD),1-2 years,Never,< 1 years
851,25-29,250-999 employees,20+,"25,000-29,999",$100-$999,3-5 years,Never,< 1 years
1235,50-54,"1000-9,999 employees",9-May,"50,000-59,999","$1000-$9,999",20+ years,Never,20+ years
395,18-21,"> 10,000 employees",15-19,"4,000-4,999",$1-$99,3-5 years,Never,1-2 years
432,22-24,,,,,< 1 years,> 25 times,< 1 years
925,25-29,"> 10,000 employees",20+,"25,000-29,999","$1000-$9,999",1-2 years,Never,1-2 years
598,30-34,,,,,3-5 years,Once,3-4 years
180,30-34,250-999 employees,4-Mar,"20,000-24,999",$0 (USD),I have never written code,,
1120,40-44,"> 10,000 employees",9-May,"40,000-49,999","> $100,000 ($USD)",3-5 years,Never,2-3 years
1475,60-69,"1000-9,999 employees",4-Mar,"100,000-124,999","> $100,000 ($USD)",20+ years,Never,< 1 years
1210,45-49,"1000-9,999 employees",20+,"15,000-19,999",$0 (USD),5-10 years,Never,< 1 years
1149,25-29,"1000-9,999 employees",2-Jan,"1,000-1,999","$10,000-$99,999",5-10 years,Never,5-10 years
375,55-59,"> 10,000 employees",4-Mar,"150,000-199,999",$0 (USD),10-20 years,Never,< 1 years
586,30-34,"> 10,000 employees",20+,"30,000-39,999",$100-$999,1-2 years,Never,1-2 years
538,22-24,,,,,< 1 years,Never,< 1 years
470,18-21,,,,,1-2 years,Never,1-2 years
1449,55-59,"1000-9,999 employees",0,"125,000-149,999","$1000-$9,999",3-5 years,Once,1-2 years
42,30-34,,,,,,,
762,25-29,0-49 employees,9-May,$0-999,$1-$99,3-5 years,Never,< 1 years
982,35-39,250-999 employees,4-Mar,"20,000-24,999",$100-$999,5-10 years,Never,1-2 years
1042,40-44,0-49 employees,2-Jan,"30,000-39,999",$100-$999,3-5 years,Never,1-2 years
632,22-24,"> 10,000 employees",20+,"10,000-14,999",$100-$999,1-2 years,Never,1-2 years
441,45-49,"> 10,000 employees",20+,"200,000-249,999","> $100,000 ($USD)",10-20 years,Never,< 1 years
582,22-24,"1000-9,999 employees",4-Mar,"7,500-9,999",$1-$99,3-5 years,Never,1-2 years
321,30-34,250-999 employees,20+,"50,000-59,999",$1-$99,3-5 years,Never,< 1 years
326,40-44,"> 10,000 employees",2-Jan,"30,000-39,999",$0 (USD),5-10 years,Never,2-3 years
983,35-39,50-249 employees,20+,"125,000-149,999","> $100,000 ($USD)",10-20 years,Once,10-15 years
483,35-39,0-49 employees,2-Jan,"30,000-39,999",$100-$999,< 1 years,Never,< 1 years
519,30-34,"1000-9,999 employees",20+,"5,000-7,499",$1-$99,< 1 years,Never,< 1 years
478,35-39,,,,,10-20 years,6-24 times,1-2 years
368,18-21,,,,,< 1 years,Never,< 1 years
747,18-21,"1000-9,999 employees",20+,"10,000-14,999","$1000-$9,999",3-5 years,Never,3-4 years
1581,25-29,"1000-9,999 employees",2-Jan,"3,000-3,999",$0 (USD),1-2 years,Never,1-2 years
518,35-39,"> 10,000 employees",20+,"125,000-149,999","$10,000-$99,999",5-10 years,Never,5-10 years
479,35-39,250-999 employees,20+,"125,000-149,999","$1000-$9,999",5-10 years,Never,5-10 years
1008,35-39,250-999 employees,9-May,"125,000-149,999","$1000-$9,999",10-20 years,Never,2-3 years
543,30-34,"> 10,000 employees",14-Oct,"40,000-49,999",$100-$999,3-5 years,Never,4-5 years
2055,18-21,,,,,3-5 years,Never,1-2 years
482,18-21,,,,,1-2 years,Never,< 1 years
444,25-29,0-49 employees,2-Jan,"60,000-69,999","$10,000-$99,999",3-5 years,Never,3-4 years
491,18-21,,,,,< 1 years,Never,< 1 years
431,30-34,0-49 employees,2-Jan,"30,000-39,999",$0 (USD),3-5 years,Never,2-3 years
309,22-24,,,,,< 1 years,Never,< 1 years
540,25-29,250-999 employees,9-May,"1,000-1,999","$1000-$9,999",1-2 years,Never,< 1 years
437,25-29,0-49 employees,9-May,"5,000-7,499",$100-$999,1-2 years,Never,1-2 years
760,45-49,,,,,< 1 years,Never,< 1 years
736,35-39,50-249 employees,14-Oct,"40,000-49,999",$100-$999,3-5 years,Once,4-5 years
551,35-39,50-249 employees,2-Jan,$0-999,$0 (USD),< 1 years,Never,< 1 years
923,22-24,250-999 employees,9-May,"70,000-79,999",$0 (USD),3-5 years,Never,1-2 years
712,70+,0-49 employees,0,$0-999,$0 (USD),3-5 years,Never,10-15 years
958,22-24,0-49 employees,2-Jan,"1,000-1,999",$1-$99,< 1 years,Never,< 1 years
555,45-49,250-999 employees,0,"90,000-99,999","$10,000-$99,999",20+ years,Never,10-15 years
409,30-34,0-49 employees,2-Jan,$0-999,$1-$99,1-2 years,Never,1-2 years
471,25-29,50-249 employees,0,"20,000-24,999",$1-$99,3-5 years,Never,< 1 years
650,22-24,250-999 employees,14-Oct,"20,000-24,999","$1000-$9,999",1-2 years,Never,< 1 years
490,30-34,0-49 employees,4-Mar,"70,000-79,999","$1000-$9,999",5-10 years,Never,5-10 years
528,40-44,0-49 employees,4-Mar,"125,000-149,999","$10,000-$99,999",20+ years,Never,2-3 years
252,35-39,"> 10,000 employees",20+,"15,000-19,999","$1000-$9,999",I have never written code,,
953,50-54,0-49 employees,4-Mar,"5,000-7,499","$10,000-$99,999",20+ years,2-5 times,4-5 years
345,22-24,,,,,< 1 years,Never,< 1 years
493,25-29,50-249 employees,15-19,$0-999,$1-$99,< 1 years,2-5 times,< 1 years
539,30-34,,,,,< 1 years,Never,< 1 years
325,18-21,,,,,1-2 years,Never,< 1 years
1448,22-24,,,,,1-2 years,Never,1-2 years
388,25-29,250-999 employees,2-Jan,"125,000-149,999","$1000-$9,999",5-10 years,Never,2-3 years
683,25-29,"> 10,000 employees",9-May,$0-999,$100-$999,3-5 years,Never,4-5 years
274,25-29,0-49 employees,20+,"40,000-49,999",$0 (USD),5-10 years,Never,2-3 years
307,30-34,,,,,1-2 years,Never,1-2 years
814,25-29,250-999 employees,14-Oct,"70,000-79,999",$0 (USD),3-5 years,Never,4-5 years
721,22-24,"> 10,000 employees",20+,"60,000-69,999",$1-$99,< 1 years,Once,< 1 years
1057,25-29,,,,,3-5 years,Never,1-2 years
669,25-29,"1000-9,999 employees",4-Mar,"10,000-14,999",$1-$99,3-5 years,Never,2-3 years
801,55-59,"1000-9,999 employees",15-19,"10,000-14,999",$0 (USD),3-5 years,Never,2-3 years
560,25-29,50-249 employees,2-Jan,"10,000-14,999","$1000-$9,999",3-5 years,Never,1-2 years
301,25-29,250-999 employees,4-Mar,"1,000-1,999",$100-$999,5-10 years,Never,1-2 years
471,22-24,0-49 employees,14-Oct,"10,000-14,999",$0 (USD),3-5 years,Never,1-2 years
915,22-24,0-49 employees,4-Mar,"60,000-69,999",$0 (USD),1-2 years,Never,1-2 years
731,22-24,,,,,1-2 years,Never,< 1 years
482,22-24,"1000-9,999 employees",20+,$0-999,$100-$999,5-10 years,Never,5-10 years
5038,18-21,50-249 employees,20+,"70,000-79,999","> $100,000 ($USD)",3-5 years,Never,2-3 years
868,18-21,,,,,1-2 years,Never,< 1 years
699,25-29,"> 10,000 employees",2-Jan,"10,000-14,999","$10,000-$99,999",1-2 years,Never,1-2 years
279,25-29,,,,,< 1 years,Never,< 1 years
1570,40-44,"1000-9,999 employees",20+,"40,000-49,999","$1000-$9,999",3-5 years,Never,1-2 years
304,22-24,,,,,< 1 years,Never,< 1 years
915,35-39,50-249 employees,4-Mar,"50,000-59,999",$0 (USD),3-5 years,Never,2-3 years
529,30-34,0-49 employees,2-Jan,$0-999,"$1000-$9,999",1-2 years,Never,1-2 years
399,30-34,250-999 employees,20+,"25,000-29,999",$0 (USD),10-20 years,Never,5-10 years
898,30-34,"> 10,000 employees",20+,"20,000-24,999",$0 (USD),< 1 years,Never,< 1 years
613,40-44,50-249 employees,9-May,"60,000-69,999","$1000-$9,999",5-10 years,Never,1-2 years
462,40-44,"> 10,000 employees",20+,"90,000-99,999",$0 (USD),10-20 years,2-5 times,5-10 years
902,35-39,0-49 employees,4-Mar,$0-999,$1-$99,< 1 years,Never,< 1 years
421,25-29,"> 10,000 employees",0,"30,000-39,999",$0 (USD),I have never written code,,
343,55-59,,,,,20+ years,Never,< 1 years
284,40-44,,,,,3-5 years,Never,1-2 years
425,22-24,,,,,1-2 years,Never,1-2 years
868,30-34,"> 10,000 employees",20+,"10,000-14,999","$1000-$9,999",1-2 years,Never,< 1 years
274,50-54,"> 10,000 employees",0,"150,000-199,999",$0 (USD),20+ years,Never,20+ years
235,30-34,,,,,I have never written code,,
576,25-29,"> 10,000 employees",20+,"150,000-199,999","> $100,000 ($USD)",5-10 years,Never,5-10 years
4315,55-59,50-249 employees,14-Oct,"15,000-19,999",$100-$999,< 1 years,2-5 times,1-2 years
4156,22-24,250-999 employees,4-Mar,"5,000-7,499","$1000-$9,999",1-2 years,,
1208,25-29,"1000-9,999 employees",4-Mar,"70,000-79,999","$1000-$9,999",3-5 years,Never,2-3 years
732,30-34,250-999 employees,4-Mar,"30,000-39,999",$1-$99,1-2 years,Once,1-2 years
483,50-54,"> 10,000 employees",20+,"200,000-249,999","> $100,000 ($USD)",5-10 years,Never,10-15 years
1627,18-21,0-49 employees,2-Jan,"2,000-2,999",$0 (USD),3-5 years,Never,< 1 years
1026,45-49,"1000-9,999 employees",2-Jan,"100,000-124,999","$1000-$9,999",10-20 years,Once,< 1 years
410,30-34,"> 10,000 employees",2-Jan,"80,000-89,999","$10,000-$99,999",10-20 years,Never,2-3 years
4941,25-29,"1000-9,999 employees",2-Jan,"50,000-59,999",$0 (USD),3-5 years,Never,< 1 years
426,22-24,,,,,< 1 years,Never,1-2 years
270,18-21,,,,,< 1 years,Never,< 1 years
419,30-34,0-49 employees,2-Jan,"15,000-19,999",$0 (USD),< 1 years,Never,1-2 years
827,18-21,,,,,I have never written code,,
576,25-29,"> 10,000 employees",20+,"3,000-3,999",$0 (USD),3-5 years,Never,2-3 years
345,18-21,,,,,I have never written code,,
465,25-29,0-49 employees,2-Jan,"50,000-59,999","$1000-$9,999",5-10 years,Never,4-5 years
554,30-34,"1000-9,999 employees",20+,"50,000-59,999","$10,000-$99,999",3-5 years,Never,< 1 years
854,35-39,"> 10,000 employees",20+,"30,000-39,999",$100-$999,10-20 years,Never,5-10 years
753,40-44,"1000-9,999 employees",20+,"5,000-7,499",$100-$999,5-10 years,Never,5-10 years
402,25-29,"1000-9,999 employees",9-May,"40,000-49,999",$100-$999,3-5 years,Never,2-3 years
646,45-49,0-49 employees,14-Oct,"200,000-249,999","$1000-$9,999",5-10 years,Never,3-4 years
550,30-34,250-999 employees,4-Mar,"60,000-69,999",$100-$999,5-10 years,Once,5-10 years
538,50-54,"1000-9,999 employees",14-Oct,"100,000-124,999","$10,000-$99,999",20+ years,Never,< 1 years
285,30-34,,,,,3-5 years,Once,< 1 years
398,30-34,0-49 employees,20+,"70,000-79,999",$0 (USD),1-2 years,Never,< 1 years
665,60-69,"> 10,000 employees",20+,"200,000-249,999","$1000-$9,999",1-2 years,Never,1-2 years
1857,30-34,50-249 employees,9-May,"10,000-14,999",$0 (USD),3-5 years,Never,< 1 years
613,30-34,0-49 employees,4-Mar,"90,000-99,999","$10,000-$99,999",3-5 years,2-5 times,3-4 years
691,30-34,"> 10,000 employees",20+,"80,000-89,999",$100-$999,5-10 years,Never,5-10 years
1485,25-29,"> 10,000 employees",20+,"70,000-79,999",$0 (USD),5-10 years,Once,5-10 years
734,40-44,"> 10,000 employees",20+,"250,000-299,999","> $100,000 ($USD)",10-20 years,2-5 times,4-5 years
398,18-21,,,,,1-2 years,Once,1-2 years
560,22-24,,,,,1-2 years,Never,1-2 years
815,30-34,"> 10,000 employees",2-Jan,"100,000-124,999",$0 (USD),< 1 years,Never,< 1 years
728,35-39,"1000-9,999 employees",15-19,"4,000-4,999",$1-$99,5-10 years,Never,5-10 years
423,18-21,,,,,< 1 years,2-5 times,< 1 years
901,45-49,"1000-9,999 employees",14-Oct,"50,000-59,999","$1000-$9,999",5-10 years,Never,5-10 years
465,45-49,"1000-9,999 employees",20+,"150,000-199,999","$10,000-$99,999",10-20 years,Never,10-15 years
398,40-44,"> 10,000 employees",20+,"90,000-99,999","$10,000-$99,999",20+ years,Never,5-10 years
817,22-24,"> 10,000 employees",20+,"40,000-49,999",$100-$999,1-2 years,Never,1-2 years
2536,45-49,"1000-9,999 employees",2-Jan,"200,000-249,999",$100-$999,3-5 years,Never,4-5 years
221,25-29,,,,,3-5 years,Never,3-4 years
643,25-29,,,,,1-2 years,Never,2-3 years
3550,25-29,250-999 employees,0,"5,000-7,499","$1000-$9,999",< 1 years,Never,< 1 years
591,22-24,"> 10,000 employees",20+,$0-999,$0 (USD),< 1 years,Never,< 1 years
516,40-44,"> 10,000 employees",9-May,"125,000-149,999","$10,000-$99,999",10-20 years,6-24 times,5-10 years
692,35-39,"> 10,000 employees",9-May,"5,000-7,499","$1000-$9,999",3-5 years,Never,3-4 years
2186,50-54,50-249 employees,2-Jan,"40,000-49,999",$100-$999,1-2 years,Never,1-2 years
416,30-34,0-49 employees,9-May,"125,000-149,999","$10,000-$99,999",5-10 years,Never,4-5 years
432,18-21,,,,,< 1 years,Never,< 1 years
555,40-44,"> 10,000 employees",20+,"> $500,000","> $100,000 ($USD)",10-20 years,Never,4-5 years
525,22-24,0-49 employees,2-Jan,"4,000-4,999",$1-$99,1-2 years,Never,< 1 years
818,18-21,,,,,1-2 years,Never,< 1 years
333,22-24,,,,,< 1 years,Never,< 1 years
436,22-24,250-999 employees,4-Mar,"70,000-79,999","$10,000-$99,999",1-2 years,Never,1-2 years
573,60-69,50-249 employees,14-Oct,"150,000-199,999","> $100,000 ($USD)",1-2 years,Never,2-3 years
333,22-24,,,,,3-5 years,Never,1-2 years
1367,30-34,"1000-9,999 employees",4-Mar,"10,000-14,999",$1-$99,3-5 years,Once,2-3 years
915,25-29,50-249 employees,9-May,"40,000-49,999","$1000-$9,999",3-5 years,Never,3-4 years
747,30-34,50-249 employees,2-Jan,"15,000-19,999",$0 (USD),3-5 years,Never,1-2 years
843,30-34,250-999 employees,20+,"40,000-49,999",$1-$99,5-10 years,Once,2-3 years
509,35-39,0-49 employees,9-May,"125,000-149,999","> $100,000 ($USD)",10-20 years,Never,10-15 years
3445,30-34,"1000-9,999 employees",15-19,"100,000-124,999","$10,000-$99,999",10-20 years,Never,2-3 years
870,50-54,0-49 employees,2-Jan,"100,000-124,999",$0 (USD),20+ years,Never,20+ years
485,22-24,0-49 employees,0,$0-999,$0 (USD),1-2 years,Never,3-4 years
2378,35-39,"> 10,000 employees",20+,"40,000-49,999",$1-$99,5-10 years,Never,2-3 years
785,30-34,250-999 employees,14-Oct,"60,000-69,999","$1000-$9,999",5-10 years,Never,2-3 years
595,25-29,"1000-9,999 employees",0,"90,000-99,999",$0 (USD),5-10 years,Never,2-3 years
382,60-69,0-49 employees,0,"90,000-99,999",$0 (USD),5-10 years,Never,< 1 years
1696,40-44,"1000-9,999 employees",9-May,"25,000-29,999","$10,000-$99,999",10-20 years,Never,10-15 years
186,40-44,0-49 employees,0,"100,000-124,999",$100-$999,I have never written code,,
3524,25-29,0-49 employees,2-Jan,"3,000-3,999",$100-$999,< 1 years,Never,< 1 years
512,50-54,0-49 employees,2-Jan,"30,000-39,999","$1000-$9,999",20+ years,Never,< 1 years
149,18-21,,,,,I have never written code,,
1181,25-29,"> 10,000 employees",20+,$0-999,$1-$99,< 1 years,Never,< 1 years
